prompt,regime,layer,head,T,budget,read_ratio,method,rel_l2,cosine,extra_floats
longdoc_qa,longdoc,1,1,3068,64,0.020860495436766623,lowrank_k8,0.41242020218794084,0.9116447189672304,512
longdoc_qa,longdoc,1,2,3068,8,0.002607561929595828,sparse_renorm,0.43758633678731335,0.979730958951869,0
longdoc_qa,longdoc,1,2,3068,8,0.002607561929595828,cheap_block_residual,0.35752431576778365,0.9806790877812205,12160
longdoc_qa,longdoc,1,2,3068,8,0.002607561929595828,oracle_mass_global,0.2639159989896212,0.9686429891252185,64
longdoc_qa,longdoc,1,2,3068,8,0.002607561929595828,oracle_mass_block,0.25839865303869647,0.9724060440252607,6080
longdoc_qa,longdoc,1,2,3068,8,0.002607561929595828,lowrank_k8,0.2675655392304733,0.9670891694657916,512
longdoc_qa,longdoc,1,2,3068,16,0.005215123859191656,sparse_renorm,0.23313504461970713,0.9933037646049927,0
longdoc_qa,longdoc,1,2,3068,16,0.005215123859191656,cheap_block_residual,0.18989620151500466,0.9930945307296543,12160
longdoc_qa,longdoc,1,2,3068,16,0.005215123859191656,oracle_mass_global,0.15882247264456567,0.9881006059303843,64
longdoc_qa,longdoc,1,2,3068,16,0.005215123859191656,oracle_mass_block,0.15758304419778354,0.9885140739622882,6080
longdoc_qa,longdoc,1,2,3068,16,0.005215123859191656,lowrank_k8,0.1619647624204464,0.9874259773679547,512
longdoc_qa,longdoc,1,2,3068,32,0.010430247718383311,sparse_renorm,0.1409152427757022,0.997386061956415,0
longdoc_qa,longdoc,1,2,3068,32,0.010430247718383311,cheap_block_residual,0.10749572220989803,0.9972383869956091,12160
longdoc_qa,longdoc,1,2,3068,32,0.010430247718383311,oracle_mass_global,0.09677029601665985,0.9954334856211666,64
longdoc_qa,longdoc,1,2,3068,32,0.010430247718383311,oracle_mass_block,0.09501589000588481,0.9956555976813476,6080
longdoc_qa,longdoc,1,2,3068,32,0.010430247718383311,lowrank_k8,0.1007998732627339,0.9949918491509346,512
longdoc_qa,longdoc,1,2,3068,64,0.020860495436766623,sparse_renorm,0.08897941359453361,0.9988114259166937,0
longdoc_qa,longdoc,1,2,3068,64,0.020860495436766623,cheap_block_residual,0.06668317757478161,0.998784950394222,12160
longdoc_qa,longdoc,1,2,3068,64,0.020860495436766623,oracle_mass_global,0.059357180157188716,0.9982652380219788,64
longdoc_qa,longdoc,1,2,3068,64,0.020860495436766623,oracle_mass_block,0.059597408211054595,0.9982628111096946,6080
longdoc_qa,longdoc,1,2,3068,64,0.020860495436766623,lowrank_k8,0.06255490105828324,0.9980571954759643,512
longdoc_qa,longdoc,1,3,3068,8,0.002607561929595828,sparse_renorm,0.9325653977403454,0.910470840440689,0
longdoc_qa,longdoc,1,3,3068,8,0.002607561929595828,cheap_block_residual,0.6101900497686584,0.928729421240017,12160
longdoc_qa,longdoc,1,3,3068,8,0.002607561929595828,oracle_mass_global,0.4496902798555083,0.9134563515163036,64
longdoc_qa,longdoc,1,3,3068,8,0.002607561929595828,oracle_mass_block,0.4245756632346728,0.9234128529298214,6080
longdoc_qa,longdoc,1,3,3068,8,0.002607561929595828,lowrank_k8,0.4737780747768174,0.901918789157133,512
longdoc_qa,longdoc,1,3,3068,16,0.005215123859191656,sparse_renorm,0.7926179828737097,0.9180490062469981,0
