dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,model,regime,layer
64,256,64,0.25,0.18568084984328803,0.9662134190673556,0.18234261683827713,0.4063914703237301,0.7926829268292683,0.5B,longdoc,6
64,256,64,0.25,0.4329709521814894,0.9757639876440123,0.002943991300855486,0.433375445073409,0.7195121951219512,0.5B,longdoc,6
64,256,64,0.25,0.9217714545942594,0.9846853314268973,0.011942402762087152,0.9308522723356702,0.8048780487804879,0.5B,longdoc,6
64,256,64,0.25,2.692448414457694,0.9814077009773746,0.09776666888033327,2.725440410932841,0.8292682926829268,0.5B,longdoc,6
128,256,128,0.5,0.07372523118834022,0.9986622916552114,0.18648018074344813,0.23010420434640633,0.9634146341463414,0.5B,longdoc,6
128,256,128,0.5,0.1409771443460728,0.9980973447121029,0.18234261683827713,0.29983140208010856,0.926829268292683,0.5B,longdoc,6
128,256,128,0.5,0.21677626204501177,0.9990129037171843,0.002943991300855486,0.21739357257637562,0.9512195121951219,0.5B,longdoc,6
128,256,128,0.5,0.5794437981436974,0.9988941029801244,0.011942402762087152,0.584219486553382,0.9634146341463414,0.5B,longdoc,6
128,256,128,0.5,2.1296066675206484,0.9988241828859297,0.09776666888033327,2.134908081747816,0.926829268292683,0.5B,longdoc,6
192,256,192,0.75,0.008302789350303447,0.9999794622405298,0.18648018074344813,0.1877029607033044,0.9878048780487805,0.5B,longdoc,6
192,256,192,0.75,0.02025612681548355,0.9999749351394324,0.18234261683827713,0.1747931433239844,0.9878048780487805,0.5B,longdoc,6
192,256,192,0.75,0.05075897515154376,0.9999873387852588,0.002943991300855486,0.05081287620730224,1.0,0.5B,longdoc,6
192,256,192,0.75,0.11982604991357702,0.9999379578475182,0.011942402762087152,0.11938279561402931,0.9878048780487805,0.5B,longdoc,6
192,256,192,0.75,0.3497068311372377,0.9999153909688676,0.09776666888033327,0.36227849274536933,1.0,0.5B,longdoc,6
256,256,256,1.0,1.150087200616453e-07,0.999999999476131,0.18648018074344813,0.18648019266012456,1.0,0.5B,longdoc,6
256,256,256,1.0,1.0788271503086292e-07,0.999999999825377,0.18234261683827713,0.18234256917582237,1.0,0.5B,longdoc,6
256,256,256,1.0,4.6807839864643395e-07,0.999999999825377,0.002943991300855486,0.0029437175147416154,1.0,0.5B,longdoc,6
256,256,256,1.0,5.123963145682714e-06,0.9999999993015081,0.011942402762087152,0.01194306486199007,1.0,0.5B,longdoc,6
256,256,256,1.0,4.230754639741437e-06,0.999999999825377,0.09776666888033327,0.09776673924380011,1.0,0.5B,longdoc,6
32,256,32,0.125,0.7541792394795277,0.9527955421166632,0.00020667199289101738,0.7540709939964579,0.7195121951219512,0.5B,longdoc,7
32,256,32,0.125,1.430687423629459,0.9475821494313493,0.007266204103325592,1.4290826458195074,0.7560975609756098,0.5B,longdoc,7
32,256,32,0.125,0.9315188530733939,0.9588486824569439,0.004031601675573837,0.9292870007821568,0.7560975609756098,0.5B,longdoc,7
32,256,32,0.125,0.5302270552961372,0.9556362661865736,8.826810237749876e-05,0.530199074756146,0.8170731707317073,0.5B,longdoc,7
