prompt,regime,layer,head,T,S,read_ratio,component_read_gain,rel_l2,cosine,js,topk_overlap,mass_retained,entropy,gini,pass_strict,pass_mod,pass_weak
short_qa,short,0,9,44,1,0.022727272727272728,44.0,1.3542984807663951,0.9001546641607339,0.40858317981931036,1.0,0.21617583257322562,2.5115208774043403,0.7860658805684799,False,False,False
short_qa,short,0,9,44,2,0.045454545454545456,22.0,1.3715439919646193,0.9453829687889528,0.26594702696220873,1.0,0.4135577594228656,2.5115208774043403,0.7860658805684799,False,False,False
short_qa,short,0,9,44,4,0.09090909090909091,11.0,0.5605063196645476,0.9805606561553742,0.14441663841233804,1.0,0.640569250712218,2.5115208774043403,0.7860658805684799,False,False,False
short_qa,short,0,9,44,8,0.18181818181818182,5.5,0.24727214084476212,0.9885474543968471,0.0651925697215412,1.0,0.8241424889096461,2.5115208774043403,0.7860658805684799,False,False,False
short_qa,short,0,9,44,16,0.36363636363636365,2.75,0.05189827123527073,0.999132048407538,0.02020968576755816,1.0,0.9428979395216018,2.5115208774043403,0.7860658805684799,False,True,True
short_qa,short,0,9,44,32,0.7272727272727273,1.375,0.004964190249859354,0.9999942030747797,0.0016243801410689125,1.0,0.9953209442759363,2.5115208774043403,0.7860658805684799,True,True,True
short_qa,short,0,10,44,1,0.022727272727272728,44.0,3.1331014324526194,0.7595343841921705,0.49214919018452175,1.0,0.12938155519257297,3.3687501784135065,0.4850378549167271,False,False,False
short_qa,short,0,10,44,2,0.045454545454545456,22.0,2.2159269182786003,0.8518709481754562,0.41629698335745335,1.0,0.2073321085599009,3.3687501784135065,0.4850378549167271,False,False,False
short_qa,short,0,10,44,4,0.09090909090909091,11.0,1.870542019904725,0.8637558028895612,0.3378363241608224,1.0,0.3057272325870524,3.3687501784135065,0.4850378549167271,False,False,False
short_qa,short,0,10,44,8,0.18181818181818182,5.5,1.0095262089767927,0.8709178678501319,0.23582896788228563,1.0,0.46426808727377,3.3687501784135065,0.4850378549167271,False,False,False
short_qa,short,0,10,44,16,0.36363636363636365,2.75,0.4556526428412384,0.9577125486297732,0.10721647584388196,1.0,0.7229215169948069,3.3687501784135065,0.4850378549167271,False,False,False
short_qa,short,0,10,44,32,0.7272727272727273,1.375,0.10378022925236746,0.9961939998937526,0.016200866342049404,1.0,0.9540342289431413,3.3687501784135065,0.4850378549167271,False,False,True
short_qa,short,0,11,44,1,0.022727272727272728,44.0,0.7609099824591221,0.9696583786955092,0.17161067563864665,1.0,0.5844010494962913,1.214006844614353,0.9359816842086892,False,False,False
short_qa,short,0,11,44,2,0.045454545454545456,22.0,0.19725561514180126,0.9911321151884654,0.0544784457405623,1.0,0.8514190301130924,1.214006844614353,0.9359816842086892,False,False,True
short_qa,short,0,11,44,4,0.09090909090909091,11.0,0.05500936566343896,0.9995496891200092,0.01747759160592629,1.0,0.9504774324257096,1.214006844614353,0.9359816842086892,False,True,True
short_qa,short,0,11,44,8,0.18181818181818182,5.5,0.02481828413651924,0.9999311733313233,0.007420074757319241,1.0,0.978754734159398,1.214006844614353,0.9359816842086892,True,True,True
short_qa,short,0,11,44,16,0.36363636363636365,2.75,0.006175042789222962,0.9999923913762698,0.0020970914464666698,1.0,0.9939622603779299,1.214006844614353,0.9359816842086892,True,True,True
short_qa,short,0,11,44,32,0.7272727272727273,1.375,0.00017904302105359123,0.9999999889405543,5.125666830772756e-05,1.0,0.9998521121392298,1.214006844614353,0.9359816842086892,True,True,True
short_qa,short,0,12,44,1,0.022727272727272728,44.0,1.6779264814478958,0.4779998538281236,0.5214780880798723,1.0,0.10345809998583745,3.1793809066319647,0.5939643962037809,False,False,False
short_qa,short,0,12,44,2,0.045454545454545456,22.0,0.875830474803207,0.762236694697791,0.42713371509637554,1.0,0.1952013125184574,3.1793809066319647,0.5939643962037809,False,False,False
short_qa,short,0,12,44,4,0.09090909090909091,11.0,0.731799010477565,0.8336373925067708,0.30399837138966207,1.0,0.3542503746731202,3.1793809066319647,0.5939643962037809,False,False,False
short_qa,short,0,12,44,8,0.18181818181818182,5.5,0.409471503243444,0.9704184561288712,0.16959289449246057,1.0,0.5884561108707508,3.1793809066319647,0.5939643962037809,False,False,False
short_qa,short,0,12,44,16,0.36363636363636365,2.75,0.2031336650294639,0.9965358970871897,0.0619223100801489,1.0,0.8324029341592442,3.1793809066319647,0.5939643962037809,False,False,False
short_qa,short,0,12,44,32,0.7272727272727273,1.375,0.0404361059127097,0.9997480816338511,0.008747119851552751,1.0,0.974989618240629,3.1793809066319647,0.5939643962037809,True,True,True
short_qa,short,0,13,44,1,0.022727272727272728,44.0,0.22819488787555378,0.989755247899489,0.06626804641194811,1.0,0.8214383250374585,0.5985412905156475,0.9662753627792097,False,False,False
short_qa,short,0,13,44,2,0.045454545454545456,22.0,0.04742002063875551,0.9998077644169258,0.013082643212063781,1.0,0.9627611480204903,0.5985412905156475,0.9662753627792097,True,True,True
