prompt,regime,layer,head,T,method,eff_bits,storage_ratio,rel_l2,cosine,js,topk_overlap
longdoc_qa,longdoc,14,2,3068,uniform_3bit,3.0,0.1875,1.2639866340262178,0.7814339227251276,0.2297757058233884,0.625
longdoc_qa,longdoc,14,2,3068,uniform_2bit,2.0,0.125,2.3019374687129783,0.4938576656110868,0.43529512797728354,0.625
longdoc_qa,longdoc,14,2,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.0141648979176843,0.9999025279816431,0.00025329152656111486,1.0
longdoc_qa,longdoc,14,2,3068,adapt_imp_h8l4f25,5.0,0.3125,0.014243846505445027,0.9999020197762032,0.00014118054976203234,1.0
longdoc_qa,longdoc,14,2,3068,adapt_imp_h8l2f10,2.6003911342894392,0.16252444589308995,1.2958004762035986,0.30538214819649656,0.5101460211148472,0.75
longdoc_qa,longdoc,14,2,3068,adapt_imp_h8l2f25,3.5,0.21875,1.2717669648848677,0.32348478502747635,0.4849165138364543,1.0
longdoc_qa,longdoc,14,2,3068,adapt_imp_h4l2f25,2.5,0.15625,1.2245092122727241,0.35523267501505834,0.48040482801599504,0.75
longdoc_qa,longdoc,14,2,3068,adapt_margin_h8l4f10,4.400260756192959,0.27501629726205995,0.0141648979176843,0.9999025279816431,0.00025329152656111486,1.0
longdoc_qa,longdoc,14,2,3068,adapt_margin_h8l4f25,5.0,0.3125,0.014243846505445027,0.9999020197762032,0.00014118054976203234,1.0
longdoc_qa,longdoc,14,2,3068,adapt_margin_h8l2f25,3.5,0.21875,1.2717669648848677,0.32348478502747635,0.4849165138364543,1.0
longdoc_qa,longdoc,14,2,3068,recent64_r8o2,2.1251629726205996,0.13282268578878748,1.294273384272253,0.29769261815620357,0.5247982438675459,0.75
longdoc_qa,longdoc,14,2,3068,recent128_r8o2,2.2503259452411997,0.14064537157757498,1.2892242865987977,0.2993489209821734,0.524220034921163,0.75
longdoc_qa,longdoc,14,2,3068,recent64_r8o4,4.083441981747066,0.25521512385919165,0.019353233262158123,0.9998138935690705,0.0008741322379963641,1.0
longdoc_qa,longdoc,14,2,3068,recent128_r8o4,4.166883963494133,0.2604302477183833,0.019314978416111767,0.9998147259933775,0.0007449256994517909,1.0
longdoc_qa,longdoc,14,2,3068,routed_r8bg2,2.0625814863103,0.12891134289439374,1.2920473685900051,0.3011884549437454,0.5156585533669374,0.75
longdoc_qa,longdoc,14,2,3068,routed_r8bg4,4.041720990873533,0.2526075619295958,0.014124359555187656,0.999901107666634,0.0008974591971366785,1.0
longdoc_qa,longdoc,14,2,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,1.2927799583012844,0.3006833332950274,0.5160112443777699,0.75
longdoc_qa,longdoc,14,3,3068,uniform_8bit,8.0,0.5,0.043262662161770625,0.9992445631556688,0.00010340999048049021,1.0
longdoc_qa,longdoc,14,3,3068,uniform_4bit,4.0,0.25,0.30430690721616815,0.960339681955545,0.011825956515645105,0.5
longdoc_qa,longdoc,14,3,3068,uniform_3bit,3.0,0.1875,2.726528648685723,0.6842082261986959,0.21668575281858574,0.5
longdoc_qa,longdoc,14,3,3068,uniform_2bit,2.0,0.125,4.269976748489176,0.5119008491276043,0.5627537486830143,0.125
