prompt,regime,layer,head,T,entropy,gini,value_spectral,margin_top16,mass_top16,oracle_rl2_s16,jl_rl2_s16,quant4_rl2
short_qa,short,4,9,44,2.942837752906719,0.6531653135331901,0.21238852225454596,0.061950821485675434,0.8343646625747864,0.2081283067520611,0.36829181406951095,0.18356685431172365
short_qa,short,4,10,44,2.4151241572971744,0.7591038199219621,0.21238852225454596,0.0031020879950141023,0.8869436534225305,0.22007767290920555,0.32807235873720414,0.24033577155773897
short_qa,short,4,11,44,3.078710724822275,0.6262474230574848,0.21238852225454596,0.0300189679864431,0.8369284838559834,0.2072363219319791,0.6544321851035961,0.1588644580147493
short_qa,short,4,12,44,0.6246971230391101,0.9643747112787225,0.21238852225454596,0.14468765496514635,0.9994317540997851,0.000655134511072766,0.0027863448719353747,0.13532502028125326
short_qa,short,4,13,44,3.0222514182460385,0.6438353742982224,0.21238852225454596,0.05276398392388071,0.8359841410945162,0.22258300997833302,0.75326810930305,0.20084008130501876
short_qa,short,5,0,44,0.2752613347144104,0.9631378861672825,0.20123355076339985,0.2003405538779619,0.9935788659380971,0.02182685270399099,0.12879824046666508,0.21691941118558866
short_qa,short,5,1,44,2.107191872880824,0.8292247439567103,0.20123355076339985,0.3478066990276054,0.9493456866751677,0.07749717861412629,1.1939070528985587,0.23034756524067526
short_qa,short,5,2,44,0.7231827434779258,0.9419373590364358,0.20123355076339985,0.060495269561079645,0.9858683627068779,0.04459481080702523,0.0968951165748186,0.23553464350395326
short_qa,short,5,3,44,1.8444236318227971,0.885510063950581,0.20123355076339985,0.02379975782093746,0.9822088546122791,0.018858975270103027,0.04588112863760895,0.16678386899457281
short_qa,short,5,4,44,2.3294400196365075,0.7887813545477976,0.20123355076339985,0.018965017200847978,0.9305814429769316,0.08098821143893624,1.0949792264241875,0.22636760762962077
short_qa,short,5,5,44,2.4172379393662933,0.7665269673778561,0.20123355076339985,0.1267935887191296,0.9121355617021351,0.09585529071496202,0.973282364514975,0.20997297794402736
short_qa,short,5,6,44,2.0124389467024355,0.8604149165463334,0.20123355076339985,0.07975852028791852,0.972886058583859,0.027276621794792608,0.3980339053264358,0.17184331518371643
short_qa,short,5,7,44,2.78971047916403,0.7201087865100259,0.1944994518958703,0.26230231897703815,0.9477230456015208,0.04666617155187384,0.23469587371088446,0.19827227258655658
short_qa,short,5,8,44,2.1947180855499835,0.8245929577059226,0.1944994518958703,0.320128586807828,0.9580356670704178,0.04075426731463511,0.20313492378994752,0.2274783356498826
short_qa,short,5,9,44,0.5257947747406654,0.9677787213175978,0.1944994518958703,0.0823450868720208,0.9996440718999288,0.0003886641307420047,0.016769167968762502,0.14295981513137493
short_qa,short,5,10,44,2.074045201280075,0.8241145231392729,0.1944994518958703,0.1891564561650707,0.942125827918567,0.08642890191519725,0.46986651143112096,0.2043467954142742
