dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,regime,layer,T
1536,1536,1536,1.0,8.563800619390175e-07,0.9999999999999998,0.006229517499580931,0.006229464460958052,1.0,doc,2,1024
1536,1536,1536,1.0,4.2371009647847716e-07,0.9999999999999998,0.0001599511661993103,0.00015973158358359988,1.0,doc,2,1024
1536,1536,1536,1.0,1.5367179325215911e-06,0.9999999999999998,0.026894021335059397,0.026893695252052197,1.0,doc,2,1024
1536,1536,1536,1.0,1.703234107275758e-06,0.9999999999999998,2.5271292883097304e-05,2.589874083810084e-05,1.0,doc,2,1024
64,1536,64,0.041666666666666664,0.00439489681614269,0.9998507461018523,0.07097447379094413,0.07038073215408362,0.95,doc,3,1024
64,1536,64,0.041666666666666664,0.022750739220488713,0.9999973624919531,0.0002486781908476587,0.022782223374787264,1.0,doc,3,1024
64,1536,64,0.041666666666666664,0.027926433737759854,0.9999970607431512,0.004750954959801561,0.0268227830545583,1.0,doc,3,1024
64,1536,64,0.041666666666666664,0.026276925769192577,0.9999962560796793,0.01480398622670412,0.03017703067849051,1.0,doc,3,1024
128,1536,128,0.08333333333333333,0.002344878243273195,0.9999620914097702,0.07097447379094413,0.07066569396693573,1.0,doc,3,1024
128,1536,128,0.08333333333333333,0.009840337700366396,0.9999984577283454,0.0002486781908476587,0.00976554544961795,1.0,doc,3,1024
128,1536,128,0.08333333333333333,0.004670597716516198,0.9999974295472425,0.004750954959801561,0.0058707351318926185,1.0,doc,3,1024
128,1536,128,0.08333333333333333,0.010138173601911306,0.9999976307131104,0.01480398622670412,0.018794629756188418,1.0,doc,3,1024
256,1536,256,0.16666666666666666,0.0004365825704294166,0.999990232279522,0.07097447379094413,0.07099536847203737,1.0,doc,3,1024
256,1536,256,0.16666666666666666,0.004320516781095258,0.999998591838924,0.0002486781908476587,0.004401633488697203,1.0,doc,3,1024
256,1536,256,0.16666666666666666,0.0016238007704220223,0.9999983459695299,0.004750954959801561,0.005461885533538812,1.0,doc,3,1024
256,1536,256,0.16666666666666666,0.0041728369663015154,0.9999984800801085,0.01480398622670412,0.015178611272669604,1.0,doc,3,1024
384,1536,384,0.25,0.00024296102261013767,0.9999944791145123,0.07097447379094413,0.07092507701896889,1.0,doc,3,1024
384,1536,384,0.25,0.0015019698434246501,0.9999991282812386,0.0002486781908476587,0.0014191441045846706,1.0,doc,3,1024
384,1536,384,0.25,0.0008311980840518338,0.9999992847435804,0.004750954959801561,0.004514087344299337,1.0,doc,3,1024
384,1536,384,0.25,0.00319369588672625,0.9999988488841998,0.01480398622670412,0.015041732347583011,1.0,doc,3,1024
512,1536,512,0.3333333333333333,0.00015318865898165485,0.9999965578284813,0.07097447379094413,0.07099508688662061,1.0,doc,3,1024
512,1536,512,0.3333333333333333,0.0014171487786693204,0.9999995306129745,0.0002486781908476587,0.0014889324343909927,1.0,doc,3,1024
512,1536,512,0.3333333333333333,0.0004761645616896829,0.9999994635576852,0.004750954959801561,0.00484062405852074,1.0,doc,3,1024
512,1536,512,0.3333333333333333,0.001715395232145961,0.9999993070953435,0.01480398622670412,0.015315039771222654,1.0,doc,3,1024
768,1536,768,0.5,4.994062182473037e-05,0.9999992065124095,0.07097447379094413,0.07096925102194576,1.0,doc,3,1024
768,1536,768,0.5,0.0005558967074967812,0.9999999329447105,0.0002486781908476587,0.000718414256332717,1.0,doc,3,1024
768,1536,768,0.5,0.0001374738149967087,0.999999944120592,0.004750954959801561,0.004769472223224108,1.0,doc,3,1024
768,1536,768,0.5,0.0003991475072820324,0.9999998547135396,0.01480398622670412,0.014854287238734686,1.0,doc,3,1024
1536,1536,1536,1.0,1.0592646627590141e-07,0.9999999888241182,0.07097447379094413,0.07097445279529635,1.0,doc,3,1024
1536,1536,1536,1.0,4.774756183796807e-06,0.9999999999999998,0.0002486781908476587,0.0002468126437262679,1.0,doc,3,1024
1536,1536,1536,1.0,3.9993244642797045e-06,0.9999999999999998,0.004750954959801561,0.004747219548690719,1.0,doc,3,1024
1536,1536,1536,1.0,1.2905979832248305e-06,0.9999999999999998,0.01480398622670412,0.014804393510384784,1.0,doc,3,1024
64,1536,64,0.041666666666666664,0.03433227780154698,0.9999934956369356,0.0022093206078577484,0.035262166894265486,1.0,doc,4,1024
