prompt,regime,layer,head,T,method,param,budget,read,read_ratio,rel_l2,cosine,mass_retained,oracle_recall,pass_mod
short_qa,short,0,4,44,recency_router,64,16,16,0.36363636363636365,1.0614920435032071,0.38328803862918376,6.396014706484471e-06,0.3125,False
short_qa,short,0,4,44,sink_recent_router,64,16,20,0.45454545454545453,1.0627712744795668,0.38083459964478783,6.412697502056403e-06,0.3125,False
short_qa,short,0,4,44,jl,8,32,32,0.7272727272727273,0.04747619186884282,0.999360995345536,0.9698586625887989,0.75,True
short_qa,short,0,4,44,jl,16,32,32,0.7272727272727273,0.052699869368703446,0.9989700656912583,0.9535834032827706,0.8125,True
short_qa,short,0,4,44,jl,32,32,32,0.7272727272727273,5.071968690908418e-07,0.9999999999873578,0.9999995690763593,0.8125,True
short_qa,short,0,4,44,jl,64,32,32,0.7272727272727273,1.9331036924992438e-08,0.9999999999874224,0.9999999847235297,0.9375,True
short_qa,short,0,4,44,jl,128,32,32,0.7272727272727273,4.4099990132470516e-07,0.9999999999873751,0.9999995659422384,0.78125,True
short_qa,short,0,4,44,block_centroid,32,32,44,1.0,0.0,0.9999999999874227,0.999999999999,1.0,True
short_qa,short,0,4,44,block_upperbound,32,32,32,0.7272727272727273,5.420176658838391e-06,0.999999999975146,0.9999954830920401,0.6875,True
short_qa,short,0,4,44,recency_router,64,32,32,0.7272727272727273,0.001442877521822401,0.9999993814162452,0.9990289467678999,0.84375,True
short_qa,short,0,4,44,sink_recent_router,64,32,36,0.8181818181818182,0.0014428449966441637,0.9999993814362839,0.9990289634506955,0.875,True
short_qa,short,0,5,44,jl,8,8,8,0.18181818181818182,0.007396157484586261,0.9999759807105141,0.9955499035470841,0.375,True
short_qa,short,0,5,44,jl,16,8,8,0.18181818181818182,0.0012165365905373554,0.9999994849030835,0.9986756371284515,0.625,True
short_qa,short,0,5,44,jl,32,8,8,0.18181818181818182,1.419178906333641e-07,0.9999999999882492,0.999999940357736,0.875,True
short_qa,short,0,5,44,jl,64,8,8,0.18181818181818182,2.5495267609204194e-07,0.9999999999882294,0.9999998104969905,0.75,True
short_qa,short,0,5,44,jl,128,8,8,0.18181818181818182,1.419172977785526e-07,0.9999999999882493,0.9999999403574603,0.875,True
