regime,policy,block_size,budget,rl2_med,rl2_p90,read_ratio,pass10,mass,support,over_read,n,model,ctx
lenshift,block_oracle,16,0.1,0.009200837168290898,0.21372461769485435,0.09935897435897434,0.8125,0.9570371277045568,0.46611309523809524,0.992,336,0.5B,8192
lenshift,block_oracle,16,0.15,0.006591512223656879,0.16520622506354182,0.15064102564102563,0.8333333333333334,0.9650179671049799,0.49549001843728147,1.0040053404539386,336,0.5B,8192
lenshift,block_oracle,32,0.0025,0.4962070987353403,1.0862144661681519,0.00641025641025641,0.14285714285714285,0.7022869217507208,0.5874542124542125,2.4615384615384617,336,0.5B,8192
lenshift,block_oracle,32,0.005,0.4962070987353403,1.0862144661681519,0.00641025641025641,0.14285714285714285,0.7022869217507208,0.48595238095238097,1.28,336,0.5B,8192
lenshift,block_oracle,32,0.01,0.048025914521459656,0.44359846602037933,0.01282051282051282,0.6577380952380952,0.903640518532445,0.5666071428571429,1.28,336,0.5B,8192
lenshift,block_oracle,32,0.02,0.02498120197900478,0.38570174194597295,0.019230769230769232,0.7321428571428571,0.9236661620933746,0.4667559523809524,0.96,336,0.5B,8192
lenshift,block_oracle,32,0.05,0.014804309041803583,0.3084626374464392,0.05128205128205128,0.7857142857142857,0.9430118136210814,0.4456428571428571,1.024,336,0.5B,8192
lenshift,block_oracle,32,0.1,0.009846515255749982,0.22539431578849833,0.10256410256410256,0.8095238095238095,0.9552844206307656,0.44925000000000004,1.024,336,0.5B,8192
lenshift,block_oracle,32,0.15,0.007260944687758228,0.1915022345945827,0.14743589743589744,0.8214285714285714,0.962016930770495,0.4647386992180049,0.9826435246995994,336,0.5B,8192
lenshift,block_oracle,64,0.0025,0.46349537240131,1.0730354989538538,0.01282051282051282,0.15773809523809523,0.71216362755056,0.6151556776556777,4.923076923076923,336,0.5B,8192
lenshift,block_oracle,64,0.005,0.46349537240131,1.0730354989538538,0.01282051282051282,0.15773809523809523,0.71216362755056,0.5413095238095238,2.56,336,0.5B,8192
lenshift,block_oracle,64,0.01,0.46349537240131,1.0730354989538538,0.01282051282051282,0.15773809523809523,0.71216362755056,0.40672619047619046,1.28,336,0.5B,8192
